date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-07-11,BMS,30.45,30.65,30.22,30.37,845960,Event14,-1.05367138624
2012-07-10,BMS,30.81,30.98,30.22,30.4,1022535,Event14,-0.0986842105263
2012-07-09,BMS,30.71,30.81,30.35,30.67,514750,Event14,-0.880339093577
2012-07-06,BMS,31.15,31.22,30.63,30.8,833675,Event14,-0.422077922078
2012-07-05,BMS,31.57,31.7,31.39,31.46,653368,Event14,-2.0979020979
2012-07-03,BMS,31.24,31.61,31.16,31.6,332348,Event14,-0.443037974684
2012-07-02,BMS,31.24,31.41,30.89,31.23,733627,Event14,1.18475824528
2012-06-29,BMS,31.59,31.6,31.19,31.34,1067264,Event14,-0.350989151244
2012-06-28,BMS,31.1,31.2,30.8,31.1,737382,Event14,0.771704180064
2012-06-27,BMS,31.45,31.59,31.16,31.23,642228,Event14,-0.416266410503
2012-06-26,BMS,31.54,31.68,31.32,31.32,874600,Event14,-0.287356321839
2012-06-25,BMS,31.37,31.59,31.31,31.49,615528,Event14,-0.53985392188
2012-06-22,BMS,31.72,31.89,31.52,31.65,704461,Event14,-0.505529225908
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-04-05,AMGN,67.77,68.14,67.49,68.02,3858095,Event17,[]
2012-04-04,AMGN,67.66,68.15,67.39,67.85,3602368,Event17,0.250552689757
2012-04-03,AMGN,68.07,68.27,67.47,67.93,4790069,Event17,-0.117768290888
2012-04-02,AMGN,67.57,68.2,67.12,68.11,4508484,Event17,-0.26427837322
2012-03-30,AMGN,67.66,68.0,67.25,67.97,3861338,Event17,0.205973223481
2012-03-29,AMGN,67.36,67.7,66.96,67.32,3091986,Event17,0.965537730244
2012-03-28,AMGN,67.55,67.97,67.29,67.68,3431652,Event17,-0.531914893617
2012-03-27,AMGN,67.71,68.34,67.64,67.81,5209874,Event17,-0.191712136853
2012-03-26,AMGN,67.28,67.72,67.2,67.52,5048477,Event17,0.429502369668
2012-03-23,AMGN,66.59,67.03,66.42,66.66,3665646,Event17,1.2901290129
2012-03-22,AMGN,66.74,66.85,66.31,66.62,6084983,Event17,0.0600420294206
2012-03-21,AMGN,67.71,67.71,67.02,67.05,4316816,Event17,-0.641312453393
2012-03-20,AMGN,67.83,68.56,67.55,67.58,3316310,Event17,-0.784255696952
